Latitude,Longitude,Vertex
-63.25,-57.2,I1
-64.7,-61.5,I2
-65.5,-63.4,I3
-67,-65.7,I4
-68,-66.2,I5
-69.09,-65.51,I6
-69.72,-63.8,I7
-71.26,-62.92,I8
-71.9,-63.91,I9
-72.65,-62.88,I10
-74.07,-63.46,I11
-75.4,-66.17,I12
-76.26,-71.9,I13
-75.73,-79.27,I14
-76.22,-80.28,I15
-77.44,-78.27,I16
-77.32,-81.92,I17
-77.95,-85.3,I18
-78.59,-86.02,I19
-81.2,-77.61,I20
-81.66,-68.68,I21
-82.4,-69.37,I22
-82.84,-65.91,I23
-83.59,-65.29,I24
-83.92,-59.37,I25
-82.45,-50.06,I26
-82.97,-44.86,I27
-82.62,-41.07,I28
-81.55,-38.81,I29
-80.21,-23.5,I30
-78.7,-28.78,I31
-78.56,-34.14,I32
-77.68,-32.29,I33
-76.33,-24.93,I34
-75.79,-17.28,I35
-74.85,-16.23,I36
-74.08,-12.94,I37
-73.53,-13.27,I38
-72.09,-9.55,I39
-71.8,-4.61,I40
-72.3,-0.41,I41
-71.33,2.95,I42
-70.84,9.33,I43
-71.24,11.88,I44
-70.78,13.41,I45
-70.78,15.48,I46
-71.37,19.12,I47
-71.2,21.89,I48
-71.43,27.55,I49
-70,34.15,I50
-70.62,39.52,I51
-69.19,41.06,I52
-68.2,46.1,I53
-68.43,49.08,I54
-67.69,50.27,I55
-67.38,51.9,I56
-66.45,52.32,I57
-66.37,54.81,I58
-67.39,54.55,I59
-67.88,55.74,I60
-67.6,57.25,I61
-68.04,59.3,I62
-67.98,63.6,I63
-68.35,68.56,I64
-70.05,66.23,I65
-71.06,67.06,I66
-73.17,65.26,I67
-73.76,66.77,I68
-73.47,69.06,I69
-72.86,69.61,I70
-71.87,72.71,I71
-70.38,74.08,I72
-70.25,76.44,I73
-68.54,79.75,I74
-67.61,84.91,I75
-67.03,91.92,I76
-67.03,97.08,I77
-67.35,99.13,I78
-66.37,102.82,I79
-67.44,108.94,I80
-67.1,111.35,I81
-66.39,111.82,I82
-66.28,112.95,I83
-66.81,113.47,I84
-67.52,112.5,I85
-67.94,113.34,I86
-67.07,125.72,I87
-67.57,126.7,I88
-67.59,129.43,I89
-66.68,130.91,I90
-67.04,138.94,I91
-67.47,143.02,I92
-68.34,143.47,I93
-68.17,145.31,I94
-68.84,146.82,I95
-69.26,154.25,I96
-69.96,158.81,I97
-71.62,161.43,I98
-71.66,162.99,I99
-71.07,164.89,I100
-71.66,167.9,I101
-71.91,168.43,I102
-72.71,165.39,I103
-75.26,158.91,I104
-75.88,160.63,I105
-77.03,160.09,I106
-77.98,161.89,I107
-78.39,159.33,I108
-80.3,155.49,I109
-81.92,158.94,I110
-82.58,156.7,I111
-83.01,163.49,I112
-83.67,165.19,I113
-84.98,-172.43,I114
-85.79,-162.01,I115
-85.55,-145.09,I116
-84.62,-146.71,I117
-84,-159.38,I118
-82.71,-149.31,I119
-81.59,-150.78,I120
-81.06,-144.89,I121
-79.68,-145.17,I122
-78.63,-152.36,I123
-77.97,-152.69,I124
-78.27,-149.89,I125
-77.92,-144.43,I126
-76.24,-143.66,I127
-76.23,-139.98,I128
-75.59,-138.53,I129
-75.32,-134.69,I130
-74.97,-116.05,I131
-75.5,-114.78,I132
-75.72,-98.43,I133
-75.1,-97.42,I134
-74.13,-98.99,I135
-73.67,-97.45,I136
-73.61,-89.43,I137
-74.34,-82.21,I138
-73.95,-79.83,I139
-74.29,-76.71,I140
-73.16,-66.44,I141
-71.95,-65.33,I142
-69.93,-67.11,I143
-62.811,-61.512,I144
-62.8,-61.45,I145
-62.733,-61.257,I146
-62.731,-61.22,I147
-62.725,-61.203,I148
-62.676,-61.138,I149
-62.643,-61.085,I150
-62.636,-60.868,I151
-62.586,-60.737,I152
-62.604,-60.474,I153
-62.587,-60.329,I154
-62.506,-60.136,I155
-62.474,-60.093,I156
-62.455,-60.03,I157
-62.457,-59.97,I158
-62.477,-59.827,I159
-62.444,-59.726,I160
-62.392,-59.686,I161
-62.357,-59.629,I162
-62.39,-59.477,I163
-62.38,-59.385,I164
-62.305,-59.23,I165
-62.265,-59.074,I166
-62.235,-59.001,I167
-62.231,-58.999,I168
-62.191,-58.972,I169
-62.137,-58.832,I170
-62.01,-58.455,I171
-61.989,-58.05,I172
-61.8986,-58,I173
-61.947,-57.986,I174
-61.965,-57.835,I175
-61.92,-57.671,I176
-61.899,-57.672,I177
-63.248,-57.1,I178
-63.092,-56.548,I179
-63.009,-56.255,I180
-63.168,-56.255,I181
-63.215,-56.255,I182
-63.4,-56.255,I183
-63.416667,-56.075,I184
-63.416667,-55.835,I185
-65,-61.015,I186
