Vertex,Latitude,Longitude
1,-63.25,-57.2
2,-64.7,-61.5
3,-65.5,-63.4
4,-67,-65.7
5,-69,-66.1
6,-72.6,-65
7,-74,-67
8,-75.1,-79.9
9,-78.2,-89.9
10,-85.4,-64.5
11,-80.2,-16.6
12,-74.1,-2.6
13,-72,15.6
14,-71.8,40.4
15,-68.6,54.5
16,-69.2,64.6
17,-74.3,61.8
18,-75.1,68.5
19,-70.3,81.3
20,-68.4,104.6
21,-68,130.7
22,-69.4,144.9
23,-72.6,159.1
24,-77.8,153
25,-82.7,151.7
26,-86.8,179.999
27,-86.8,-179.999
28,-86.8,-139.2
29,-84,-144.5
30,-79.5,-143.1
31,-76.7,-141
32,-75.8,-123.6
33,-76.4,-113.3
34,-76.6,-98.4
35,-73.9,-95.2
