Latitude,Longitude,Vertex,Name
-73.55,-70,S1,48.1
-71,-70,S2,48.1
-70.9,-69.5,S3,48.1
-70.3,-69.5,S4,48.1
-70.2,-70,S5,48.1
-60,-70,P2,48.1
-60,-50,P3,48.1
-64,-50,S6,48.1
-65,-50,P4,48.1
-65,-61.07,S7,48.1
-64.7,-61.5,I2,48.1
-65.5,-63.4,I3,48.1
-67,-65.7,I4,48.1
-68,-66.2,I5,48.1
-69.09,-65.51,I6,48.1
-69.93,-67.11,I143,48.1
-71.95,-65.33,I142,48.1
-73.16,-66.44,I141,48.1
-64,-50,P1,48.2
-57,-50,P2,48.2
-57,-30,P3,48.2
-64,-30,P4,48.2
-57,-50,P1,48.3
-50,-50,P2,48.3
-50,-30,P3,48.3
-57,-30,P4,48.3
-64,-30,P1,48.4
-57,-30,S8,48.4
-50,-30,P2,48.4
-50,-20,P3,48.4
-64,-20,P4,48.4
-65,-61.07,S7,48.5
-65,-50,P2,48.5
-64,-50,P3,48.5
-64,-30,S9,48.5
-64,-20,P4,48.5
-75.98,-20,S10,48.5
-76.33,-24.93,I34,48.5
-77.68,-32.29,I33,48.5
-78.56,-34.14,I32,48.5
-78.7,-28.78,I31,48.5
-80.21,-23.5,I30,48.5
-81.55,-38.81,I29,48.5
-82.62,-41.07,I28,48.5
-82.97,-44.86,I27,48.5
-82.45,-50.06,I26,48.5
-83.92,-59.37,I25,48.5
-83.59,-65.29,I24,48.5
-82.84,-65.91,I23,48.5
-82.4,-69.37,I22,48.5
-81.66,-68.68,I21,48.5
-81.2,-77.61,I20,48.5
-78.59,-86.02,I19,48.5
-77.95,-85.3,I18,48.5
-77.32,-81.92,I17,48.5
-77.44,-78.27,I16,48.5
-76.22,-80.28,I15,48.5
-75.73,-79.27,I14,48.5
-76.26,-71.9,I13,48.5
-75.4,-66.17,I12,48.5
-74.07,-63.46,I11,48.5
-72.65,-62.88,I10,48.5
-71.9,-63.91,I9,48.5
-71.26,-62.92,I8,48.5
-69.72,-63.8,I7,48.5
-69.09,-65.51,I6,48.5
-68,-66.2,I5,48.5
-67,-65.7,I4,48.5
-65.5,-63.4,I3,48.5
-64.7,-61.5,I2,48.5
-75.98,-20,S10,48.6
-64,-20,S11,48.6
-50,-20,P2,48.6
-50,30,P3,48.6
-62,30,S12,48.6
-70.9,30,S13,48.6
-71.43,27.55,I49,48.6
-71.2,21.89,I48,48.6
-71.37,19.12,I47,48.6
-70.78,15.48,I46,48.6
-70.78,13.41,I45,48.6
-71.24,11.88,I44,48.6
-70.84,9.33,I43,48.6
-71.33,2.95,I42,48.6
-72.3,-0.41,I41,48.6
-71.8,-4.61,I40,48.6
-72.09,-9.55,I39,48.6
-73.53,-13.27,I38,48.6
