ID,Active_raw,Start_date,End_date,Reference
48.1,Yes,14/09/1984,,SC-CAMLR-III Appendix 2
48.2,Yes,14/09/1984,,SC-CAMLR-III Appendix 2
48.3,Yes,14/09/1984,,SC-CAMLR-III Appendix 2
48.4,Yes,14/09/1984,,SC-CAMLR-III Appendix 2
48.5,Yes,14/09/1984,,SC-CAMLR-III Appendix 2
48.6,Yes,14/09/1984,,SC-CAMLR-III Appendix 2
58.4.1,Yes,2/11/2001,,CCAMLR-XX Annex 7
58.4.2,Yes,2/11/2001,,CCAMLR-XX Annex 7
58.4.3a,Yes,2/11/2001,,CCAMLR-XX Annex 7
58.4.3b,Yes,2/11/2001,,CCAMLR-XX Annex 8
58.5.1,Yes,6/11/1987,,CCAMLR-VI paragraph 49
58.5.2,Yes,2/11/2001,,CCAMLR-XX Annex 7
88.1,Yes,13/09/1985,,SC-CAMLR-III Appendix 2
88.2,Yes,13/09/1985,,SC-CAMLR-III Appendix 2
88.3,Yes,13/09/1985,,SC-CAMLR-III Appendix 2
58.4.4a,Yes,3/11/1995,,SC-CAMLR-XIV Par 12.1
58.4.4b,Yes,3/11/1995,,SC-CAMLR-XIV Par 12.1
58.6,Yes,1/12/2016,,CCAMLR-XXXV Paragraph 12.4
58.7,Yes,1/12/2016,,CCAMLR-XXXV Paragraph 12.4
EI,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
BS,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
JOIN,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
PB1,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
PB2,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
GS,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
SSIW,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
DP1,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
DP2,Yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
483A,Yes,1/12/2017,,CM 41-02 (2015)
N70,Yes,1/12/2017,,CM 91-05 (2016) and CM 41-09 (2017)
S70,Yes,1/12/2017,,CM 91-05 (2016) and CM 41-09 (2017)
484SSI,Yes,1/12/2008,,CM 41-03 (2013)
483B,Yes,1/12/2017,,CM 41-02 (2015)
483C,Yes,1/12/2017,,CM 41-02 (2015)
GPZi,Yes,1/12/2016,,CM 91-05 (2016)
GPZii,Yes,1/12/2016,,CM 91-05 (2016)
GPZiii,Yes,1/12/2016,,CM 91-05 (2016)
KRZ,Yes,1/12/2016,,CM 91-05 (2016)
SRZ,Yes,1/12/2016,,CM 91-05 (2016)
SOSS,Yes,1/12/2009,,CCAMLR-XXVIII paragraphs 7.1; CM 91-03
2,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
4,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
5,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
6,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
8,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
9,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
1,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
7,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
3,Yes,1/12/2011,,SC-CAMLR-XXX Annex 6
883_8,No,1/12/2019,1/12/2024,WG-SAM-2019/02
