layer_code,layer_name,label,name,active,start_date,end_date,description
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",481,48.1,yes,14/09/1984,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",482,48.2,yes,14/09/1984,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",483,48.3,yes,14/09/1984,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",484,48.4,yes,14/09/1984,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",485,48.5,yes,14/09/1984,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",486,48.6,yes,14/09/1984,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5841,58.4.1,yes,2/11/2001,,CCAMLR-XX Annex 7
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5842,58.4.2,yes,2/11/2001,,CCAMLR-XX Annex 7
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5843a,58.4.3a,yes,2/11/2001,,Requested change in CCAMLR-XIX Par.9.47. Reviewed in SC-CAMLR-XX/5. Endorsed in CCAMLR-XX Par.7.17. Coordinates in CCAMLR-XX Annex 7.
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5843b,58.4.3b,yes,2/11/2001,,Requested change in CCAMLR-XIX Par.9.47. Reviewed in SC-CAMLR-XX/5. Endorsed in CCAMLR-XX Par.7.17. Coordinates in CCAMLR-XX Annex 7.
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5851,58.5.1,yes,6/11/1987,,Proposed in SC-CAMLR-VI Par 5.76 and Figure 2. The proposal accepted in CCAMLR-VI Par 49
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5852,58.5.2,yes,2/11/2001,,CCAMLR-XX Annex 7
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",881,88.1,yes,13/09/1985,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",882,88.2,yes,13/09/1985,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",883,88.3,yes,13/09/1985,, SC-CAMLR-III Appendix 2
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",586,58.6,no,14/09/1984,1/12/2016,
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",587,58.7,no,14/09/1984,1/12/2016,
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5844a,58.4.4a,yes,3/11/1995,,SC-CAMLR-XIV Par 12.1
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",5844b,58.4.4b,yes,3/11/1995,,SC-CAMLR-XIV Par 12.1
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",586,58.6,yes,1/12/2016,,CCAMLR-XXXV Paragraph 12.4
ASD,"CCAMLR Statistical Areas, Subareas and Divisions",587,58.7,yes,1/12/2016,,CCAMLR-XXXV Paragraph 12.4
SSRU,CCAMLR Fishery Small Scale Research Units,486A,48.6 A,yes,12/01/2007,,CM 41-01 (2007)
SSRU,CCAMLR Fishery Small Scale Research Units,486B,48.6 B,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,486C,48.6 C,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,486D,48.6 D,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,486E,48.6 E,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,486F,48.6 F,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,486G,48.6 G,yes,12/01/2007,,CM 41-01 (2007)
SSRU,CCAMLR Fishery Small Scale Research Units,5841A,58.4.1 A,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5841B,58.4.1 B,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5841C,58.4.1 C,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5841D,58.4.1 D,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5841E,58.4.1 E,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5841F,58.4.1 F,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5841G,58.4.1 G,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5841H,58.4.1 H,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5842A,58.4.2 A,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,5842B,58.4.2 B,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,5842C,58.4.2 C,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,5842D,58.4.2 D,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,5842E,58.4.2 E,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5843aA,58.4.3a A,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,5843bA,58.4.3b A,yes,12/01/2008,,CM 41-01 (2008)
SSRU,CCAMLR Fishery Small Scale Research Units,5843bB,58.4.3b B,yes,12/01/2008,,CM 41-01 (2008)
SSRU,CCAMLR Fishery Small Scale Research Units,5843bC,58.4.3b C,yes,12/01/2008,,CM 41-01 (2008)
SSRU,CCAMLR Fishery Small Scale Research Units,5843bD,58.4.3b D,yes,12/01/2008,,CM 41-01 (2008)
