Latitude,Longitude,Vertex
-73.55,-70,S1
-71,-70,S2
-70.9,-69.5,S3
-70.3,-69.5,S4
-70.2,-70,S5
-64,-50,S6
-65,-61.07,S7
-57,-30,S8
-64,-30,S9
-75.98,-20,S10
-64,-20,S11
-62,30,S12
-70.9,30,S13
-57,-50,S14
-50,-30,S15
-50,-20,S16
-69.02,150,S17
-60,179.999999,S18
-60,-179.999999,S19
-85.17,-170,S20
-84.54,-179.999999,S21
-84.54,179.999999,S22
-75.63,-105,S23
-60,-170,S24
-60,-105,S25
-68.49,80,S26
-60,150,S27
-62,43,S28
-62,60,S29
-64,80,S30
-62,73.166667,S31
-50,44,S32
-53.233333,60,S33
-56,60,S34
-50,43,S35
-53.235278,67.055556,S36
-52.707778,68.091944,S37
-51.971667,69.733889,S38
-51.408889,71.208056,S39
-51.0525,72.474444,S40
-50.906389,72.8225,S41
-49.826111,75.602222,S42
-49.401944,76.704722,S43
-55,80,S44
-56,73.166667,S45
-50,60,S46
-50,30,S47
-45,44,S48
-45,60,S49
-49.4,80,S50
-55,86,S51
-60,-70,S52
-72.26,-10,S53
-72.18,0,S54
-70.95,10,S55
-71.32,20,S56
-67.19,90,S57
-67.12,100,S58
-67.29,110,S59
-67.47,120,S60
-67.24,130,S61
-67.15,140,S62
-70.17,40,S63
-67.86,50,S64
-68.03,60,S65
-72.74,70,S66
-68.49,80,S67
-70.71,160,S68
-73,164.65,S69
-80,156.09,S70
-78.26,-150,S71
-76.23,-140,S72
-78.97,-150,S73
-81.52,-150,S74
-75.23,-130,S75
-75.04,-120,S76
-75.56,-110,S77
-73.65,-95,S78
-74.06,-85,S79
-74.1,-75,S80
-73.8,-105,S81
-70,-90,S82
-71,-90,S83
-64,-59.42,S84
-70,-170,S85
-70,-179.999999,S86
-70,179.999999,S87
-73.5,-179.999999,S88
-73.5,179.999999,S89
-76,-179.999999,S90
-64.49,-60.89,S91
-65.93,-64.06,S92
-63.56,-58.11,S93
-65.97,-60.67,S94
-66.01,-60.95,S95
-66.07,-61.07,S96
-66.12,-61.29,S97
-66.17,-61.94,S98
-66,-62.55,S99
-64.06,-59.61,S100
-65.67,-63.66,S101
-66.75,179.999999,S102
-66.75,-179.999999,S103
-69,-179.999999,S104
-69,179.999999,S105
