"Stratum","Latitude","Longitude"
"EI",-60,-53.4425
"EI",-61.8987,-53.4425
"EI",-61.8987,-56.255
"EI",-61.8987,-58
"EI",-60,-58
"SSIW",-60,-58
"SSIW",-61.8987,-58
"SSIW",-62.92793,-61.87732
"SSIW",-62.48373,-62.76289
"SSIW",-62.2125,-63.30362
"SSIW",-60.79583,-60.52583
"SSIW",-60.79583,-59.55362
"SSIW",-60,-59.48417
"BS",-61.8987,-56.255
"BS",-63.0083,-56.255
"BS",-64,-59.74
"BS",-62.92793,-61.87732
"BS",-61.8987,-58
"JOIN",-61.8987,-53.4425
"JOIN",-63.41667,-53.4425
"JOIN",-63.41667,-56.255
"JOIN",-63.0083,-56.255
"JOIN",-61.8987,-56.255
"GS",-62.48373,-62.76289
"GS",-62.92793,-61.87732
"GS",-64,-59.74
"GS",-64.82378,-61.55755
"GS",-65.727,-63.5504
"GS",-64.3,-66.3476
"DP",-60,-70
"DP",-60,-59.48417
"DP",-60.79583,-59.55362
"DP",-60.79583,-60.52583
"DP",-62.2125,-63.30362
"DP",-62.48373,-62.76289
"DP",-64.3,-66.3476
"DP",-65.727,-63.5504
"DP",-67,-65.7
"DP",-69,-66.2
"DP",-72.6,-65
"DP",-73.35,-70
"PB",-60,-53.4425
"PB",-60,-50
"PB",-65,-50
"PB",-65,-61.07
"PB",-64.82378,-61.55755
"PB",-64,-59.74
"PB",-63.0083,-56.255
"PB",-63.41667,-56.255
"PB",-63.41667,-53.4425
"PB",-61.8987,-53.4425
