Stratum,Latitude,Longitude
EI,-60,-53.4425
EI,-61.8987,-53.4425
EI,-61.8987,-56.255
EI,-61.8987,-58
EI,-60,-58
BS,-61.8987,-56.255
BS,-63.0083,-56.255
BS,-64,-59.74
BS,-62.92793,-61.87732
BS,-61.8987,-58
JOIN,-61.8987,-53.4425
JOIN,-63.41667,-53.4425
JOIN,-63.41667,-56.255
JOIN,-63.0083,-56.255
JOIN,-61.8987,-56.255
PB1,-63,-52
PB1,-63.41667,-53.4425
PB1,-61.8987,-53.4425
PB1,-60,-53.4425
PB1,-60,-50
PB2,-63,-52
PB2,-60,-50
PB2,-65,-50
PB2,-65,-61.07
PB2,-64.82378,-61.55755
PB2,-64,-59.74
PB2,-63.0083,-56.255
PB2,-63.41667,-56.255
PB2,-63.41667,-53.4425
GS,-62.92793,-61.87732
GS,-64,-59.74
GS,-64.82378,-61.55755
GS,-65.727,-63.5504
GS,-63.9297,-67.07346
GS,-62.03355,-63.66039
SSIW,-60,-58
SSIW,-61.8987,-58
SSIW,-62.92793,-61.87732
SSIW,-62.03355,-63.66039
SSIW,-60,-60
DP1,-65.727,-63.5504
DP1,-67,-65.7
DP1,-66,-69
DP1,-65,-69
DP1,-63.9297,-67.07346
DP2,-65,-69
DP2,-66,-69
DP2,-67,-65.7
DP2,-69,-66.2
DP2,-72.6,-65
DP2,-73.35,-70
DP2,-60,-70
DP2,-60,-60
DP2,-62.03355,-63.66039
DP2,-63.9297,-67.07346
