"ID","Latitude","Longitude"
"T8-1",-59.999999998491,-57.5
"T8-2",-60.2921841174597,-57.5
"T8-3",-60.5841580695002,-57.5
"T8-4",-60.8759242533244,-57.5
"T8-5",-61.1674850553032,-57.5
"T8-6",-61.4588428496541,-57.5
"T8-7",-61.7499999986268,-57.5
"T9-1",-59.999999998491,-57
"T9-2",-60.2921841174597,-57
"T9-3",-60.5841580695002,-57
"T9-4",-60.8759242533244,-57
"T9-5",-61.1674850553032,-57
"T9-6",-61.4588428496541,-57
"T9-7",-61.7499999986268,-57
"T10-1",-59.999999998491,-56.5
"T10-2",-60.2921841174597,-56.5
"T10-3",-60.5841580695002,-56.5
"T10-4",-60.8759242533244,-56.5
"T10-5",-61.1674850553032,-56.5
"T10-6",-61.4588428496541,-56.5
"T10-7",-61.7499999986268,-56.5
"T11-1",-59.999999998491,-55.75
"T11-2",-60.2921841174597,-55.75
"T11-3",-60.5841580695002,-55.75
"T11-4",-60.8759242533244,-55.75
"T11-5",-61.1674850553032,-55.75
"T11-6",-61.4588428496541,-55.75
"T11-7",-61.7499999986268,-55.75
"T12-1",-59.999999998491,-55
"T12-2",-60.2627534709374,-55
"T12-3",-60.5253367993794,-55
"T12-4",-60.787751729422,-55
"T12-5",-61.0499999985756,-55
"T13-1",-59.999999998491,-54.5
"T13-2",-60.2921841174597,-54.5
"T13-3",-60.5841580695002,-54.5
"T13-4",-60.8759242533244,-54.5
"T13-5",-61.1674850553032,-54.5
"T13-6",-61.4588428496541,-54.5
"T13-7",-61.7499999986268,-54.5
"T14-1",-59.999999998491,-54
"T14-2",-60.2627534709374,-54
"T14-3",-60.5253367993794,-54
"T14-4",-60.787751729422,-54
"T14-5",-61.0499999985756,-54
"T15-1",-62.9999999987096,-61.5
"T15-2",-63.1662254148288,-61.1676086778595
"T15-3",-63.332899391469,-60.8342624978221
"T15-4",-63.49999999874,-60.5
"T16-1",-62.9999999987096,-60.5
"T16-2",-63.1662254148288,-60.1676086778595
"T16-3",-63.332899391469,-59.8342624978221
"T16-4",-63.49999999874,-59.5
"T17-1",-62.7499999986939,-60
"T17-2",-62.9162253383071,-59.6676086348488
"T17-3",-63.0828992626299,-59.3342625498577
"T17-4",-63.249999998725,-59
"T18-1",-62.4999999986777,-59.5
"T18-2",-62.6662253042845,-59.1676085140189
"T18-3",-62.8328991770947,-58.8342625226305
"T18-4",-62.9999999987096,-58.5
"T19-1",-62.4999999986777,-58.5
"T19-2",-62.6662253042845,-58.1676085140189
"T19-3",-62.8328991770947,-57.8342625226305
"T19-4",-62.9999999987096,-57.5
"T20-1",-62.2499999986612,-58
"T20-2",-62.416225311766,-57.667608317172
"T20-3",-62.5828991338607,-57.3342624179526
"T20-4",-62.7499999986939,-57
"T21-1",-61.9999999986442,-57.4
"T21-2",-62.2495696783974,-56.9508445799538
"T21-3",-62.4999999986777,-56.5
"T22-1",-61.9999999986442,-56
"T22-2",-62.2501432558027,-56
"T22-3",-62.5001427636082,-56
"T22-4",-62.7499999986939,-56
"T12b-1",-61.2499999985906,-55
"T12b-2",-61.5000738038228,-55
"T12b-3",-61.7499999986268,-55
"T14b-1",-61.3333329985968,-54
"T14b-2",-61.5417176762228,-54
"T14b-3",-61.7499999986268,-54
"T23b-1",-61.9999999986442,-55
"T23b-2",-62.3335869892267,-55
"T23b-3",-62.6669191572827,-55
"T23b-4",-62.9999999987096,-55
"T24b-1",-61.9999999986442,-54
"T24b-2",-62.3335869892267,-54
"T24b-3",-62.6669191572827,-54
"T24b-4",-62.9999999987096,-54
"T25-1",-63.0833329987148,-62.25
"T25-2",-63.2771180087729,-61.834807067182
"T25-3",-63.4715710319962,-61.4181016984472
"T25-4",-63.6666669987498,-61
"T31-1",-64.0416669987713,-61.416667
"T31-2",-64.0499999987719,-61.21
"T32-1",-64.1999999987803,-61.65
"T32-2",-64.3399999987881,-61.36
"T33-1",-64.2999999987859,-61.97
"T33-2",-64.4499999987943,-61.68
"T34-1",-64.4499999987943,-62.258333
"T34-2",-64.4999999987969,-62.09
"T35-1",-64.5333329987988,-62.533333
"T35-2",-64.5499999987996,-62.5
"T6b-1",-59.999999998491,-61.5
"T6b-3",-60.4247279138676,-60.6506100230691
"T6b-4",-60.6383230056778,-60.2234012688878
"T6b-5",-60.8527260580481,-59.7945614995948
"T6b-6",-61.0678348922795,-59.364391011012
"T6b-7",-61.2836087922998,-58.9328409735196
"T6b-8",-61.499999998609,-58.5
"T5-1",-59.999999998491,-63.5
"T5-6",-61.1031892846055,-61.2936372438547
"T5-7",-61.3263577844582,-60.84735067544
"T5-8",-61.5502776887576,-60.3994460890281
"T5-9",-61.774842907457,-59.9503809368865
"T5-10",-61.9999999986442,-59.5
"T3-1",-59.999999998491,-65.5
"T3-8",-61.5667725676336,-62.3665142294973
"T3-9",-61.7938575666727,-61.9123136724531
"T3-10",-62.0216645142962,-61.4567367090638
"T3-11",-62.2499999986612,-61
"T1-1",-59.999999998491,-67.5
"T1-10",-62.0518352333424,-63.3963389904397
"T1-11",-62.2839501841907,-62.9321581975681
"T1-12",-62.5167335759527,-62.4665927954069
"T1-13",-62.7499999986939,-62
"T26-1",-59.999999998491,-69.5
"T26-12",-62.5554129106394,-64.3892001653002
"T26-13",-62.793107817359,-63.9138165128382
"T26-14",-63.0316387817765,-63.4367854543867
"T26-15",-63.2706882731431,-62.9586894108331
"T26-16",-63.5101712312968,-62.4797017219979
"T26-17",-63.7499999987547,-62
"T28-1",-60.7499999985525,-70
"T28-11",-63.0625895789922,-65.374871905319
"T28-12",-63.2987968211318,-64.9024127525846
"T28-13",-63.5358650663184,-64.428325250007
"T28-14",-63.7734785976131,-63.9531110215854
"T28-15",-64.0115526953984,-63.4769434114009
"T28-16",-64.2499999987832,-63
"T30-1",-61.7499999986268,-70
"T30-9",-63.5703625822892,-66.3593407477022
"T30-10",-63.8018914478672,-65.8962270645646
"T30-11",-64.034000913368,-65.4320580275762
"T30-12",-64.266768390908,-64.9665246979466
"T30-13",-64.4999999987969,-64.5
"T6-2",-60.8747265705358,-60.7506137878593
"T6-3",-61.0923808021119,-60.315273271701
