"ID","Latitude","Longitude","Nm_max"
"T8-1",-59.999999998491,-57.5,40
"T8-2",-60.5841580695002,-57.5,40
"T8-3",-61.1674850553032,-57.5,40
"T8-4",-61.7499999986268,-57.5,40
"T9-1",-59.999999998491,-57,40
"T9-2",-60.5841580695002,-57,40
"T9-3",-61.1674850553032,-57,40
"T9-4",-61.7499999986268,-57,40
"T10-1",-59.999999998491,-56.5,40
"T10-2",-60.5841580695002,-56.5,40
"T10-3",-61.1674850553032,-56.5,40
"T10-4",-61.7499999986268,-56.5,40
"T11-1",-59.999999998491,-55.75,40
"T11-2",-60.5841580695002,-55.75,40
"T11-3",-61.1674850553032,-55.75,40
"T11-4",-61.7499999986268,-55.75,40
"T12-1",-59.999999998491,-55,40
"T12-2",-60.5253367993794,-55,40
"T12-3",-61.0499999985756,-55,40
"T13-1",-59.999999998491,-54.5,40
"T13-2",-60.5841580695002,-54.5,40
"T13-3",-61.1674850553032,-54.5,40
"T13-4",-61.7499999986268,-54.5,40
"T14-1",-59.999999998491,-54,40
"T14-2",-60.5253367993794,-54,40
"T14-3",-61.0499999985756,-54,40
"T15-1",-62.9999999987096,-61.5,40
"T15-2",-63.2494898866667,-61.0010229732037,40
"T15-3",-63.49999999874,-60.5,40
"T16-1",-62.9999999987096,-60.5,40
"T16-2",-63.2494898866667,-60.0010229732037,40
"T16-3",-63.49999999874,-59.5,40
"T17-1",-62.7499999986939,-60,40
"T17-2",-62.9994896795375,-59.5010233794184,40
"T17-3",-63.249999998725,-59,40
"T18-1",-62.4999999986777,-59.5,40
"T18-2",-62.7494895208282,-59.0010236888592,40
"T18-3",-62.9999999987096,-58.5,40
"T19-1",-62.4999999986777,-58.5,40
"T19-2",-62.7494895208282,-58.0010236888592,40
"T19-3",-62.9999999987096,-57.5,40
"T20-1",-62.2499999986612,-58,40
"T20-2",-62.4994894094035,-57.5010239037966,40
"T20-3",-62.7499999986939,-57,40
"T21-1",-61.9999999986442,-57.4,40
"T21-2",-62.4999999986777,-56.5,40
"T22-1",-61.9999999986442,-56,40
"T22-2",-62.375160885941,-56,40
"T22-3",-62.7499999986939,-56,40
"T12b-1",-61.2499999985906,-55,40
"T12b-2",-61.7499999986268,-55,40
"T14b-1",-61.3333329985968,-54,40
"T14b-2",-61.7499999986268,-54,40
"T23b-1",-61.9999999986442,-55,40
"T23b-2",-62.5002847071243,-55,40
"T23b-3",-62.9999999987096,-55,40
"T24b-1",-61.9999999986442,-54,40
"T24b-2",-62.5002847071243,-54,40
"T24b-3",-62.9999999987096,-54,40
"T25-1",-63.0833329987148,-62.25,40
"T25-2",-63.3742615707828,-61.626634216879,40
"T25-3",-63.6666669987498,-61,40
"T31-1",-64.0416669987713,-61.416667,40
"T31-2",-64.0499999987719,-61.21,40
"T32-1",-64.1999999987803,-61.65,40
"T32-2",-64.3399999987881,-61.36,40
"T33-1",-64.2999999987859,-61.97,40
"T33-2",-64.4499999987943,-61.68,40
"T34-1",-64.4499999987943,-62.258333,40
"T34-2",-64.4999999987969,-62.09,40
"T35-1",-64.5333329987988,-62.533333,40
"T35-2",-64.5499999987996,-62.5,40
